unique,runique,round,SurveyVersion,Current,fdn,fdntext,fldimp,undrfld,advknow,pubpol,comimp,undrwr,undrsoc,orgimp,undrorg,impsust,granteffect,avgrelfact,comfort,responsv,fairness,ctctfreq,initcont,conchng,sitevst,clrcomm,consistent,lrn_pub,lrn_web,lrn_ar,lrn_grp,lrn_ind,lrn_oth,lrn_blog,lrn_facebk,lrn_twitter,lrn_video,lrn_none2,ansrec,help_pub,help_web,help_ar,help_grp,help_ind,help_oth,help_blog,help_facebk,help_twitter,help_video,onr_fochelp,onr_ideahelp,selhelp,selfdn,pressure,tmsubcmt,propsub,s_loi,s_intv,s_phone,s_rescomm,s_lm,s_none,anssel,helpeval,disceval,discassess,helpassess,evalocc,evalocc_recode,eval_prcs_2,eval_prcs_3,eval_prcs_4,eval_prcs_8,eval_prcs_9,eval_prcs_89,eval_prcs_new,exteval,grtval,total_pem,prophour,prophour_buc_val,emhour,emana,emana_buc_val,propno,emno,ansasst,m_yeast,noasst,m_madv,m_mstrt,m_mfnpl,m_mperf,m_fcoll,m_fadv,m_fintr,m_frobs,m_fpubs,m_fsems,m_ogov,m_oit,m_ocom,m_ofac,m_otrn,m_fundasst,m_ootr,mc_mgmt,mc_fld,mc_oth,mc_all,nonmon,fldorcomp,fundasst,fundimp,f_fdnrep,satisfac,msatisfac,awarechall,helpchall,transparent,trans_select,trans_futfund,trans_bestpractice,trans_failure,typfund_new,grntlen,lenbuc_val,grntsz,grntbuc_val,anpctbud,relpat,budg,budbuc_val,curfund,declined,posit,gender,r_aframb,r_nativeal,r_asianind,r_white,r_sphislat,r_pacisl,r_oth,r_prefno,race,ISI_value,initcont_denom,tmsubcmt_denom,eval_prcs_new_denom,gender_denom,race_denom,ressub_lm,ressub_eval,ressub_prog,ressub_wrt,ressub_quantdata,ressub_qualdata,ressub_story,ressub_quantinfo,ressub_qualinfo,ressub_cost,ressub_oth,resreq_lm,resreq_eval,resreq_prog,resreq_wrt,resreq_quantdata,resreq_qualdata,resreq_story,resreq_quantinfo,resreq_qualinfo,resreq_cost,resreq_oth,e_stvst,e_disc,e_phone,e_email,e_extevl,e_wrtfm,e_outdata,e_none,use_blog,use_facebk,use_twitter,use_video,undrres,cctresuse,cctres,rellen,divcomm_fdn,divcomm_prog,divcomm_org,divcomm_wrk,divadd,optind,tracking
1010,14S21010,14S,Domestic,1,3001,Marlborough 14S,7,7,7,88,88,7,77,7,7,7,1,7,7,7,7,4,1,0,0,7,7,0,0,0,0,1,0,0,0,0,0,0,1,,,,,7,,,,,,,,7,,,,0,0,0,1,1,0,0,1,6,0,1,7,1,1,0,0,0,1,0,0,1,0,31250,48,48,5,,,,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,7,7,7,7,7,7,7,4,5,5,1500000,9,,88,,,1,0,3,1,0,0,0,1,0,0,0,0,White,2,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1319
1015,14S21015,14S,Domestic,1,3001,Marlborough 14S,6,6,6,3,7,7,7,7,7,6,2,6.6,7,7,7,2,3,1,0,5,7,0,1,0,1,1,0,0,0,0,0,0,1,,5,,7,7,,,,,,,,7,,,,0,0,1,1,1,1,0,1,6,1,1,6,1,1,0,0,0,1,0,0,1,0,6250,160,100,7,60,30,4,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,2,1,4,2,0,,,,,,7,7,5,5,7,5,3,4,2,2,1000000,9,0.125,2,4000000,4,1,1,1,1,0,0,0,1,0,0,0,0,White,2,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1178
1019,14S21019,14S,Domestic,1,3001,Marlborough 14S,7,7,7,4,88,88,7,6,6,6,2,6.6,7,6,7,4,1,0,1,7,6,1,1,0,0,1,0,0,0,0,0,0,1,4,4,,,7,,,,,,,,7,5,4,5,1,1,1,1,1,0,0,1,4,1,0,4,1,1,0,0,0,1,0,0,1,88,,25,20,3,5,1.66667,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,2,0,,,,,,7,4,6,6,6,7,7,4,3,3,,,,1,3200000000,6,1,1,3,1,0,0,0,1,0,0,0,0,White,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1409
1499,14S21499,14S,Domestic,1,3001,Marlborough 14S,5,7,5,4,5,3,5,6,5,7,2,6.2,7,6,6,3,1,0,1,6,6,1,1,0,1,1,0,0,0,0,0,0,1,5,4,,7,7,,,,,,,,6,6,3,9,1,1,0,1,1,1,0,1,,,1,6,2,0,1,0,0,0,0,0,4,,8950.492,250,250,8,,,,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,4,0,4,3,1,,,,,,5,4,5,5,6,7,4,4,2,2,2237623,9,0.11188,3,10000000,5,1,1,1,1,0,0,0,1,0,0,0,0,White,2,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1490
1509,14S21509,14S,Domestic,1,3001,Marlborough 14S,7,7,7,88,5,6,7,5,7,5,1,6.6,7,7,7,2,2,0,1,6,6,1,1,1,1,1,0,0,0,0,0,0,1,6,6,6,7,7,,,,,,,,7,5,2,6,1,0,0,0,1,0,0,1,7,1,1,6,1,1,0,0,0,1,0,0,1,0,2857.142857,140,100,7,40,20,3,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,5,1,6,3,1,,,,,,5,5,6,6,6,6,5,4,2,2,400000,7,4.00E-05,88,4800000000,6,1,0,3,2,0,0,0,1,0,0,0,0,White,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1402
2088,14S22088,14S,International,1,3001,Marlborough 14S,6,6,5,5,4,6,6,6,7,7,3,6.2,6,7,7,3,3,0,1,5,6,1,1,0,0,1,0,0,0,0,0,0,1,5,5,,,7,,,,,,,,5,5,3,5,1,0,1,1,1,0,0,1,,,,6,2,0,1,0,0,0,0,0,4,,35269.44444,18,8,1,10,3.33333,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,0,,,,,,6,6,5,4,6,6,,4,3,3,634850,8,0.70539,3,300000,2,1,0,1,2,,,,,,,,,,2,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1081
2473,14S22473,14S,Domestic,1,3001,Marlborough 14S,5,4,6,5,88,88,77,5,5,5,2,6.4,7,7,7,4,1,0,,6,5,1,1,0,0,1,0,0,0,0,0,0,1,6,4,,,7,,,,,,,,6,4,4,6,1,1,0,1,1,0,0,1,5,1,1,6,1,1,0,0,0,1,0,0,1,0,10666.66667,60,40,5,20,10,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,5,4,6,5,6,5,6,4,2,2,640000,8,1.06667,1,300000,2,1,0,1,1,0,0,0,1,0,0,0,0,White,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1468
1515,14S21515,14S,Domestic,1,3001,Marlborough 14S,6,7,6,6,2,3,7,6,5,4,1,6.2,6,7,7,2,3,0,1,6,5,0,1,0,0,0,0,0,0,0,0,0,1,,5,,,,,,,,,,,6,5,1,6,1,1,1,1,1,1,0,1,,,1,6,3,0,0,1,0,0,0,0,4,,4729.72973,74,50,6,24,12,2,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,3,4,2,9,4,1,,,,,,5,5,5,5,5,5,5,6,2,2,350000,7,0.35,1,500000,3,1,0,1,,0,0,0,1,0,0,0,0,White,,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1453
1517,14S21517,14S,Domestic,1,3001,Marlborough 14S,5,6,6,5,88,88,6,6,88,88,1,6.6,7,7,7,2,3,0,0,6,6,1,0,0,0,1,0,0,0,0,0,0,1,5,,,,6,,,,,,,,6,6,1,6,1,1,1,1,1,0,0,1,5,1,1,,1,1,0,0,0,1,0,0,1,0,17857.14286,140,120,7,20,4,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,0,,,,,,5,5,,,,,,4,5,5,2500000,9,0.08333,1,6000000,5,1,88,1,1,0,0,0,1,0,0,0,0,White,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1473
1518,14S21518,14S,Domestic,1,3001,Marlborough 14S,88,5,88,88,88,88,5,5,6,5,2,6.2,6,7,7,3,3,0,1,5,6,0,0,0,1,1,0,0,0,0,0,0,1,,,,5,6,,,,,,,,5,6,2,5,1,0,0,1,1,0,0,1,,,1,4,2,0,1,0,0,0,0,0,4,,16500,40,40,5,,,,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,,,,5,5,5,4,5,5,4,4,2,2,660000,8,0.03667,1,9000000,5,1,0,5,2,0,0,0,1,0,0,0,0,White,2,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt-in,A1470
